midi_file,song_name,instrument_class
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\all_src.mid,Track00002,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S00.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S01.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S02.mid,MIDI,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S03.mid,MIDI,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S04.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S05.mid,MIDI,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S06.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S07.mid,MIDI,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S08.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00002\MIDI\S09.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\all_src.mid,Track00003,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\all_src.mid,Track00003,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\all_src.mid,Track00003,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\all_src.mid,Track00003,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\all_src.mid,Track00003,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S00.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S01.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S02.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S03.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S04.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S06.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S07.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00003\MIDI\S08.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Organ
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\all_src.mid,Track00004,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S00.mid,MIDI,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S01.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S02.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S03.mid,MIDI,Organ
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S04.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S05.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S06.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S07.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00004\MIDI\S08.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\all_src.mid,Track00005,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S00.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S01.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S02.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S03.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S04.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S05.mid,MIDI,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S06.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S07.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S08.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S10.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S11.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S12.mid,MIDI,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00005\MIDI\S13.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\all_src.mid,Track00006,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S00.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S01.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S02.mid,MIDI,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S03.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S04.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S05.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S06.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S07.mid,MIDI,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S08.mid,MIDI,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S09.mid,MIDI,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S10.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S11.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S12.mid,MIDI,Brass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S13.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00006\MIDI\S14.mid,MIDI,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\all_src.mid,Track00007,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S00.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S01.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S02.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S03.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S04.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S05.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S06.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S07.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S08.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00007\MIDI\S09.mid,MIDI,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\all_src.mid,Track00008,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S00.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S01.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S02.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S03.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S04.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S05.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00008\MIDI\S06.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\all_src.mid,Track00009,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S00.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S01.mid,MIDI,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S02.mid,MIDI,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S03.mid,MIDI,Other
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S04.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S05.mid,MIDI,Flute
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S06.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S07.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S10.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S11.mid,MIDI,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00009\MIDI\S12.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\all_src.mid,Track00010,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\all_src.mid,Track00010,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\all_src.mid,Track00010,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\all_src.mid,Track00010,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\all_src.mid,Track00010,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S00.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S01.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S02.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S03.mid,MIDI,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S04.mid,MIDI,Synth
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S05.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00010\MIDI\S06.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\all_src.mid,Track00011,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\all_src.mid,Track00011,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\all_src.mid,Track00011,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\all_src.mid,Track00011,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\all_src.mid,Track00011,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S00.mid,MIDI,Saxophone
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S01.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S02.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S03.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S04.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S05.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S06.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S07.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00011\MIDI\S08.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Harp
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Percussion
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\all_src.mid,Track00012,Voice
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S00.mid,MIDI,Drums
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S01.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S02.mid,MIDI,Guitar
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S03.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S04.mid,MIDI,Piano
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S05.mid,MIDI,Bass
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S06.mid,MIDI,Strings
C:\Users\vasan\OneDrive\trushitha\Polyphonic\backend\datasets\babyslakh_16k\Track00012\MIDI\S07.mid,MIDI,Voice
